City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Corinth,GR,37.9407,22.9573,50.9,78,73,8.32,broken clouds
310,Sao Filipe,CV,14.8961,-24.4956,74.8,70,94,7.47,overcast clouds
311,Igarka,RU,67.4667,86.5833,-8.9,97,100,20.54,light snow
312,Wangkui,CN,46.8333,126.5,-11.76,100,58,2.53,broken clouds
313,Kutum,SD,14.2,24.6667,65.28,38,100,7.58,overcast clouds
314,Yeppoon,AU,-23.1333,150.7333,82.18,61,93,9.75,overcast clouds
315,Medina,SA,24.4686,39.6142,63.03,20,0,3.44,clear sky
316,Vila,PT,42.0304,-8.1588,41.32,55,12,4.12,few clouds
317,Morganton,US,35.7454,-81.6848,53.04,54,1,1.01,clear sky
318,Yerbogachen,RU,61.2767,108.0108,-27.72,94,89,7.07,overcast clouds
319,Townsville,AU,-19.25,146.8,86.88,51,67,13.8,broken clouds
320,Daru,PG,-9.0763,143.2092,80.96,85,99,7.94,overcast clouds
321,Mogadishu,SO,2.0371,45.3438,78.49,80,88,17.98,overcast clouds
322,Coquimbo,CL,-29.9533,-71.3436,64.13,67,0,13.8,clear sky
323,Guerrero Negro,MX,27.9769,-114.0611,63.59,62,62,11.65,broken clouds
324,Svetlyy,RU,54.675,20.1347,39.96,91,100,10.78,overcast clouds
325,Kruisfontein,ZA,-34.0033,24.7314,58.89,90,12,3.15,few clouds
326,Natchitoches,US,31.7668,-93.1335,73.38,83,75,5.75,broken clouds
327,Lingao,CN,19.9103,109.6859,69.35,86,65,8.14,broken clouds
328,Sharkan,RU,57.2989,53.8712,8.1,100,95,3.65,overcast clouds
329,Andenes,NO,69.3143,16.1194,39.18,75,75,24.16,broken clouds
330,Aklavik,CA,68.2191,-135.0107,-16.6,76,75,8.05,broken clouds
331,Sarahan,IN,31.5167,77.8,27.09,42,0,10.54,clear sky
332,Poum,NC,-20.2333,164.0167,79.16,59,78,19.48,broken clouds
333,Sikasso,ML,10.9167,-7.0,78.28,25,91,1.81,overcast clouds
334,Rio Gallegos,AR,-51.6226,-69.2181,66.25,24,0,25.32,clear sky
335,Boyolangu,ID,-8.1181,111.8935,80.53,79,91,2.59,overcast clouds
336,Chipata,ZM,-13.6333,32.65,71.11,49,64,6.11,broken clouds
337,Sibu,MY,2.3,111.8167,77.31,94,20,3.0,light rain
338,Riohacha,CO,11.5444,-72.9072,82.51,74,20,6.91,few clouds
339,Haines Junction,CA,60.7522,-137.5108,-14.85,70,100,0.0,overcast clouds
340,Aksu,CN,41.1231,80.2644,24.15,51,100,2.64,overcast clouds
341,Ostrovnoy,RU,68.0531,39.5131,27.16,96,100,8.23,light snow
